fork_id,fork_name,fork_full_name,fork_owner,fork_url,fork_created_at,fork_updated_at
MDEwOlJlcG9zaXRvcnkyNjU3NDE5NA==,bcbio-nextgen,aavin/bcbio-nextgen,aavin,https://github.com/aavin/bcbio-nextgen,2014-11-13T06:30:29Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkyNjc2NzU5Ng==,bcbio-nextgen,harshinamdar/bcbio-nextgen,harshinamdar,https://github.com/harshinamdar/bcbio-nextgen,2014-11-17T17:12:11Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkyNjgwMDc0Nw==,bcbio-nextgen,a113n/bcbio-nextgen,a113n,https://github.com/a113n/bcbio-nextgen,2014-11-18T09:03:37Z,2020-04-09T03:14:16Z
MDEwOlJlcG9zaXRvcnkyNzMxMjYzNA==,bcbio-nextgen,Schork-Lab/bcbio-nextgen,Schork-Lab,https://github.com/Schork-Lab/bcbio-nextgen,2014-11-29T19:27:22Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkyNzM3OTMyNA==,bcbio-nextgen,olingerc/bcbio-nextgen,olingerc,https://github.com/olingerc/bcbio-nextgen,2014-12-01T12:51:37Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkyODAwMTg5NA==,bcbio-nextgen,nirajkhe/bcbio-nextgen,nirajkhe,https://github.com/nirajkhe/bcbio-nextgen,2014-12-14T17:29:31Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkyOTg0NzE5NQ==,bcbio-nextgen,hshujia/bcbio-nextgen,hshujia,https://github.com/hshujia/bcbio-nextgen,2015-01-26T05:58:18Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzMDcwMzE1Nw==,bcbio-nextgen,HedvikaGenomics/bcbio-nextgen,HedvikaGenomics,https://github.com/HedvikaGenomics/bcbio-nextgen,2015-02-12T13:13:16Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzMTAxOTUwNg==,bcbio-nextgen,nadinecastelhano/bcbio-nextgen,nadinecastelhano,https://github.com/nadinecastelhano/bcbio-nextgen,2015-02-19T14:44:28Z,2018-03-05T18:22:45Z
MDEwOlJlcG9zaXRvcnkzMTA1MTQyMw==,bcbio-nextgen,sekka1/bcbio-nextgen,sekka1,https://github.com/sekka1/bcbio-nextgen,2015-02-20T04:49:37Z,2018-03-05T18:22:45Z
