|                            Search Query                             |                                       Repository Name                                       |                                              full_name                                               |                                                           URL                                                           |                                                                                                                                                                                                                                                                                                                                                                    Description                                                                                                                                                                                                                                                                                                                                                                     |   Stars |   Forks |     Language     |   Issues |      Created At      |      Updated At      |  Default Branch  |                                                                                          License                                                                                          |                                                                                                                                              Topics                                                                                                                                               |  Private  |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                        genomictools                                         |                                        jianhong/genomictools                                         |                                        https://github.com/jianhong/genomictools                                         |                                                                                                                                                                                                                                                                                                                                                           docker file for genomic tools                                                                                                                                                                                                                                                                                                                                                            |       1 |       0 |    Dockerfile    |        0 | 2018-07-12T17:09:43Z | 2024-07-25T17:13:40Z |      master      |                                          {'key': 'other', 'name': 'Other', 'spdx_id': 'NOASSERTION', 'url': None, 'node_id': 'MDc6TGljZW5zZTA='}                                          |                                                                                          ['bioinformatics-pipeline', 'bwa', 'chip-seq', 'kallisto', 'macs2', 'rna-seq', 'salmon', 'sleuth', 'tximport']                                                                                           |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                        Genome-wide-SNP-discovery-using-RAD-seq-data                         |                        nadiabaig/Genome-wide-SNP-discovery-using-RAD-seq-data                        |                        https://github.com/nadiabaig/Genome-wide-SNP-discovery-using-RAD-seq-data                        |                                                                                                                                                                                                                                                                                                                                         A bash script based pipeline to analyze Rad-seq data to get SNPs.                                                                                                                                                                                                                                                                                                                                          |       1 |       0 |      Shell       |        0 | 2021-03-04T14:50:02Z | 2023-03-15T11:25:05Z |       main       |                                                                                                                                                                                           |                                                                                                                      ['bioinformatics', 'genomics', 'ngs', 'rna-seq', 'vcf']                                                                                                                      |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                             RNA_Sequencing_And_Genome_Analysis                              |                          shashwat9kumar/RNA_Sequencing_And_Genome_Analysis                           |                          https://github.com/shashwat9kumar/RNA_Sequencing_And_Genome_Analysis                           |                                                                                                                                                                                                                                                                                                         A project to sequence the RNA from actual error prone reads from a PCR process and then to analyze the sequenced protein sequence                                                                                                                                                                                                                                                                                                          |       0 |       2 |       C++        |        1 | 2019-02-13T09:15:06Z | 2021-12-13T12:54:47Z |      master      |                           {'key': 'mit', 'name': 'MIT License', 'spdx_id': 'MIT', 'url': 'https://api.github.com/licenses/mit', 'node_id': 'MDc6TGljZW5zZTEz'}                            |                                                                                        ['cpp', 'dna', 'dna-sequences', 'gnuplot', 'graph-theory', 'pcr-process', 'rna', 'rna-seq-analysis', 'sequencing']                                                                                         |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                SIB_SpringSchool_PopulationGenomics_Bioinformatics_Leukerbad                 |               julien-roux/SIB_SpringSchool_PopulationGenomics_Bioinformatics_Leukerbad               |               https://github.com/julien-roux/SIB_SpringSchool_PopulationGenomics_Bioinformatics_Leukerbad               |                                                                                                                                                                                                                                                                                                                                                RNA-seq practicals created for the SIB spring school                                                                                                                                                                                                                                                                                                                                                |       0 |       2 |       HTML       |        0 | 2016-07-06T09:49:33Z | 2016-07-06T10:15:12Z |      master      |           {'key': 'gpl-3.0', 'name': 'GNU General Public License v3.0', 'spdx_id': 'GPL-3.0', 'url': 'https://api.github.com/licenses/gpl-3.0', 'node_id': 'MDc6TGljZW5zZTk='}            |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       Galway_Genomics                                       |                                      BarryD237/Galway_Genomics                                       |                                      https://github.com/BarryD237/Galway_Genomics                                       |                                                                                                                                                                                                                                                                                                                                                                    RNA Seq Data                                                                                                                                                                                                                                                                                                                                                                    |       0 |       0 |                  |        0 | 2018-11-20T20:22:50Z | 2023-01-28T19:32:39Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                              Regulatory-Genomics-RNAseqchipSeq                              |                             LucoDevro/Regulatory-Genomics-RNAseqchipSeq                              |                             https://github.com/LucoDevro/Regulatory-Genomics-RNAseqchipSeq                              |                                                                                                                                                                                                                                                                                                                                bulk RNAseq of olfactory gene clusters in Drosophila & SMC3-ChIPseq of a neural cell                                                                                                                                                                                                                                                                                                                                |       0 |       0 | Jupyter Notebook |        0 | 2023-05-30T17:14:21Z | 2023-05-30T17:14:54Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                     Functional-Genomics                                     |                                     JasonAW/Functional-Genomics                                      |                                     https://github.com/JasonAW/Functional-Genomics                                      |                                                                                                                                                                                                                                                                                                                                                            Daphnia RNA-Seq Scripts/Code                                                                                                                                                                                                                                                                                                                                                            |       0 |       0 |                  |        0 | 2017-03-10T10:54:53Z | 2017-03-10T10:54:53Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                   libert-genomics-dogview                                   |                                     xzys/libert-genomics-dogview                                     |                                     https://github.com/xzys/libert-genomics-dogview                                     |                                                                                                                                                                                                                                                                                                                                                           genomics pipeline for RNA Seq                                                                                                                                                                                                                                                                                                                                                            |       0 |       0 |      Python      |        0 | 2014-06-23T16:32:46Z | 2014-11-17T21:00:58Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                       genome_analysis                                       |                                      dwheelerau/genome_analysis                                      |                                      https://github.com/dwheelerau/genome_analysis                                      |                                                                                                                                                                                                                                                                                                                                                          RNA-seq data for genome analysis                                                                                                                                                                                                                                                                                                                                                          |       0 |       0 |                  |        0 | 2017-06-20T04:03:42Z | 2017-06-20T04:03:42Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                      Genomic-Pipelines                                      |                                    BertoLabMUSC/Genomic-Pipelines                                    |                                    https://github.com/BertoLabMUSC/Genomic-Pipelines                                    |                                                                                                                                                                                                                                                                                                                                                         Pipeline for RNA-seq and ChIP-seq                                                                                                                                                                                                                                                                                                                                                          |       0 |       0 |      Shell       |        0 | 2017-10-18T15:22:27Z | 2017-10-26T20:21:32Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 1} |                                 Genome-scale-data-analytics                                 |                            Oliver-Lorenz-dev/Genome-scale-data-analytics                             |                            https://github.com/Oliver-Lorenz-dev/Genome-scale-data-analytics                             |                                                                                                                                                                                                                                                                                                                                                     Contains DESeq2 RNA-Seq data analysis code                                                                                                                                                                                                                                                                                                                                                     |       0 |       0 |        R         |        0 | 2021-06-11T14:06:31Z | 2021-06-11T14:14:28Z |       main       |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
| {'q': 'genom rna-seq', 'sort': 'stars', 'order': 'desc', 'page': 2} |                                        Comp_Genomics                                        |                                         dsikka/Comp_Genomics                                         |                                         https://github.com/dsikka/Comp_Genomics                                         |                                                                                                                                                                                                                                                                                                                                            RNA-seq Glioma Analysis: Unsupervised and Supervised Methods                                                                                                                                                                                                                                                                                                                                            |       0 |       1 | Jupyter Notebook |        0 | 2020-04-03T22:45:06Z | 2020-05-10T03:11:06Z |      master      |                                                                                                                                                                                           |                                                                                                                                                []                                                                                                                                                 |   False   |
