repo_owner,repo_name,contributor_login,contributions,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,user_view_type,site_admin,contributions
nf-core,sarek,robsyme,9,robsyme,31576,MDQ6VXNlcjMxNTc2,https://avatars.githubusercontent.com/u/31576?v=4,,https://api.github.com/users/robsyme,https://github.com/robsyme,https://api.github.com/users/robsyme/followers,https://api.github.com/users/robsyme/following{/other_user},https://api.github.com/users/robsyme/gists{/gist_id},https://api.github.com/users/robsyme/starred{/owner}{/repo},https://api.github.com/users/robsyme/subscriptions,https://api.github.com/users/robsyme/orgs,https://api.github.com/users/robsyme/repos,https://api.github.com/users/robsyme/events{/privacy},https://api.github.com/users/robsyme/received_events,User,public,False,9
nf-core,sarek,cmatKhan,7,cmatKhan,43553003,MDQ6VXNlcjQzNTUzMDAz,https://avatars.githubusercontent.com/u/43553003?v=4,,https://api.github.com/users/cmatKhan,https://github.com/cmatKhan,https://api.github.com/users/cmatKhan/followers,https://api.github.com/users/cmatKhan/following{/other_user},https://api.github.com/users/cmatKhan/gists{/gist_id},https://api.github.com/users/cmatKhan/starred{/owner}{/repo},https://api.github.com/users/cmatKhan/subscriptions,https://api.github.com/users/cmatKhan/orgs,https://api.github.com/users/cmatKhan/repos,https://api.github.com/users/cmatKhan/events{/privacy},https://api.github.com/users/cmatKhan/received_events,User,public,False,7
nf-core,sarek,famosab,7,famosab,45968370,MDQ6VXNlcjQ1OTY4Mzcw,https://avatars.githubusercontent.com/u/45968370?v=4,,https://api.github.com/users/famosab,https://github.com/famosab,https://api.github.com/users/famosab/followers,https://api.github.com/users/famosab/following{/other_user},https://api.github.com/users/famosab/gists{/gist_id},https://api.github.com/users/famosab/starred{/owner}{/repo},https://api.github.com/users/famosab/subscriptions,https://api.github.com/users/famosab/orgs,https://api.github.com/users/famosab/repos,https://api.github.com/users/famosab/events{/privacy},https://api.github.com/users/famosab/received_events,User,public,False,7
nf-core,sarek,lconde-ucl,7,lconde-ucl,13676946,MDQ6VXNlcjEzNjc2OTQ2,https://avatars.githubusercontent.com/u/13676946?v=4,,https://api.github.com/users/lconde-ucl,https://github.com/lconde-ucl,https://api.github.com/users/lconde-ucl/followers,https://api.github.com/users/lconde-ucl/following{/other_user},https://api.github.com/users/lconde-ucl/gists{/gist_id},https://api.github.com/users/lconde-ucl/starred{/owner}{/repo},https://api.github.com/users/lconde-ucl/subscriptions,https://api.github.com/users/lconde-ucl/orgs,https://api.github.com/users/lconde-ucl/repos,https://api.github.com/users/lconde-ucl/events{/privacy},https://api.github.com/users/lconde-ucl/received_events,User,public,False,7
nf-core,sarek,lassefolkersen,7,lassefolkersen,1732847,MDQ6VXNlcjE3MzI4NDc=,https://avatars.githubusercontent.com/u/1732847?v=4,,https://api.github.com/users/lassefolkersen,https://github.com/lassefolkersen,https://api.github.com/users/lassefolkersen/followers,https://api.github.com/users/lassefolkersen/following{/other_user},https://api.github.com/users/lassefolkersen/gists{/gist_id},https://api.github.com/users/lassefolkersen/starred{/owner}{/repo},https://api.github.com/users/lassefolkersen/subscriptions,https://api.github.com/users/lassefolkersen/orgs,https://api.github.com/users/lassefolkersen/repos,https://api.github.com/users/lassefolkersen/events{/privacy},https://api.github.com/users/lassefolkersen/received_events,User,public,False,7
nf-core,sarek,adrlar,7,adrlar,4697930,MDQ6VXNlcjQ2OTc5MzA=,https://avatars.githubusercontent.com/u/4697930?v=4,,https://api.github.com/users/adrlar,https://github.com/adrlar,https://api.github.com/users/adrlar/followers,https://api.github.com/users/adrlar/following{/other_user},https://api.github.com/users/adrlar/gists{/gist_id},https://api.github.com/users/adrlar/starred{/owner}{/repo},https://api.github.com/users/adrlar/subscriptions,https://api.github.com/users/adrlar/orgs,https://api.github.com/users/adrlar/repos,https://api.github.com/users/adrlar/events{/privacy},https://api.github.com/users/adrlar/received_events,User,public,False,7
nf-core,sarek,LouisLeNezet,6,LouisLeNezet,58640615,MDQ6VXNlcjU4NjQwNjE1,https://avatars.githubusercontent.com/u/58640615?v=4,,https://api.github.com/users/LouisLeNezet,https://github.com/LouisLeNezet,https://api.github.com/users/LouisLeNezet/followers,https://api.github.com/users/LouisLeNezet/following{/other_user},https://api.github.com/users/LouisLeNezet/gists{/gist_id},https://api.github.com/users/LouisLeNezet/starred{/owner}{/repo},https://api.github.com/users/LouisLeNezet/subscriptions,https://api.github.com/users/LouisLeNezet/orgs,https://api.github.com/users/LouisLeNezet/repos,https://api.github.com/users/LouisLeNezet/events{/privacy},https://api.github.com/users/LouisLeNezet/received_events,User,public,False,6
nf-core,sarek,pharmlovex,6,pharmlovex,74153842,MDQ6VXNlcjc0MTUzODQy,https://avatars.githubusercontent.com/u/74153842?v=4,,https://api.github.com/users/pharmlovex,https://github.com/pharmlovex,https://api.github.com/users/pharmlovex/followers,https://api.github.com/users/pharmlovex/following{/other_user},https://api.github.com/users/pharmlovex/gists{/gist_id},https://api.github.com/users/pharmlovex/starred{/owner}{/repo},https://api.github.com/users/pharmlovex/subscriptions,https://api.github.com/users/pharmlovex/orgs,https://api.github.com/users/pharmlovex/repos,https://api.github.com/users/pharmlovex/events{/privacy},https://api.github.com/users/pharmlovex/received_events,User,public,False,6
nf-core,sarek,alexanderchang1,4,alexanderchang1,35378211,MDQ6VXNlcjM1Mzc4MjEx,https://avatars.githubusercontent.com/u/35378211?v=4,,https://api.github.com/users/alexanderchang1,https://github.com/alexanderchang1,https://api.github.com/users/alexanderchang1/followers,https://api.github.com/users/alexanderchang1/following{/other_user},https://api.github.com/users/alexanderchang1/gists{/gist_id},https://api.github.com/users/alexanderchang1/starred{/owner}{/repo},https://api.github.com/users/alexanderchang1/subscriptions,https://api.github.com/users/alexanderchang1/orgs,https://api.github.com/users/alexanderchang1/repos,https://api.github.com/users/alexanderchang1/events{/privacy},https://api.github.com/users/alexanderchang1/received_events,User,public,False,4
nf-core,sarek,matrulda,4,matrulda,1584541,MDQ6VXNlcjE1ODQ1NDE=,https://avatars.githubusercontent.com/u/1584541?v=4,,https://api.github.com/users/matrulda,https://github.com/matrulda,https://api.github.com/users/matrulda/followers,https://api.github.com/users/matrulda/following{/other_user},https://api.github.com/users/matrulda/gists{/gist_id},https://api.github.com/users/matrulda/starred{/owner}{/repo},https://api.github.com/users/matrulda/subscriptions,https://api.github.com/users/matrulda/orgs,https://api.github.com/users/matrulda/repos,https://api.github.com/users/matrulda/events{/privacy},https://api.github.com/users/matrulda/received_events,User,public,False,4
